Game,Date,A,B,C,D,E,F
2762,06/02/2016,1,4,11,19,30,32
2763,09/02/2016,2,10,14,15,21,29
2764,13/02/2016,2,13,14,19,21,30
2765,16/02/2016,8,14,16,20,24,30
2766,20/02/2016,2,5,21,29,34,37
2767,23/02/2016,6,10,25,31,35,37
2768,27/02/2016,3,18,19,22,24,26
2769,01/03/2016,7,15,17,19,27,30
2770,05/03/2016,1,2,7,8,9,26
2771,08/03/2016,5,19,23,25,30,31
2772,12/03/2016,1,5,14,21,27,30
2773,15/03/2016,7,15,17,18,20,32
2774,19/03/2016,6,9,17,26,27,36
2775,22/03/2016,9,16,22,27,31,32
2776,26/03/2016,6,10,14,15,26,36
2777,29/03/2016,1,10,11,13,18,25
2778,02/04/2016,3,15,26,28,32,33
2779,05/04/2016,4,8,16,20,21,36
2780,09/04/2016,5,8,11,20,29,36
2781,12/04/2016,2,7,10,18,24,26
2782,16/04/2016,7,13,19,32,35,37
2783,19/04/2016,3,7,12,22,27,36
2784,23/04/2016,2,5,6,14,22,32
2785,26/04/2016,12,13,20,25,27,30
2786,01/05/2016,2,6,8,14,29,34
2787,03/05/2016,5,22,25,33,35,36
2788,07/05/2016,1,9,20,25,27,31
2789,10/05/2016,5,6,10,20,26,29
2790,14/05/2016,13,17,20,26,35,37
2791,17/05/2016,2,4,14,19,20,33
2792,21/05/2016,3,5,6,13,26,29
2793,24/05/2016,8,12,15,24,28,33
2794,28/05/2016,4,6,14,22,28,29
2795,31/05/2016,1,5,7,18,25,36
2796,04/06/2016,5,8,17,31,32,37
2797,07/06/2016,8,9,21,22,26,37
2798,12/06/2016,1,20,23,24,26,32
2799,14/06/2016,5,6,9,12,26,34
2800,18/06/2016,12,14,16,29,32,37
2801,21/06/2016,7,11,19,25,28,37
2802,25/06/2016,2,12,21,23,28,31
2803,28/06/2016,11,12,18,19,32,37
2804,02/07/2016,3,7,10,21,33,35
2805,05/07/2016,7,12,18,22,32,36
2806,09/07/2016,1,2,5,16,24,34
2807,12/07/2016,6,14,18,26,29,36
2808,16/07/2016,4,6,15,24,31,37
2809,19/07/2016,5,10,13,17,25,36
2810,23/07/2016,1,9,15,20,23,28
2811,26/07/2016,10,13,16,24,27,37
2812,30/07/2016,2,12,20,28,30,33
2813,02/08/2016,7,26,28,30,31,34
2814,06/08/2016,1,25,34,35,36,37
2815,09/08/2016,6,8,9,14,16,17
2816,14/08/2016,1,3,15,27,31,35
2817,16/08/2016,1,2,32,34,36,37
2818,20/08/2016,3,4,5,27,30,36
2819,23/08/2016,4,6,18,26,29,34
2820,27/08/2016,12,13,15,20,21,32
2821,30/08/2016,3,11,12,15,21,26
2822,03/09/2016,1,4,16,26,28,37
2823,06/09/2016,7,13,14,28,29,35
2824,10/09/2016,5,7,10,13,24,33
2825,13/09/2016,1,10,11,12,18,19
2826,17/09/2016,11,14,22,26,27,33
2827,20/09/2016,5,9,19,21,22,34
2828,24/09/2016,9,15,17,25,27,32
2829,27/09/2016,5,11,18,20,30,35
2830,01/10/2016,14,20,23,25,26,35
2831,05/10/2016,9,11,14,16,27,37
2832,08/10/2016,1,9,10,21,24,32
2833,10/10/2016,3,8,17,20,22,30
2834,15/10/2016,9,20,22,23,24,29
2835,18/10/2016,4,5,9,12,16,29
2836,22/10/2016,1,6,12,14,36,37
2837,25/10/2016,4,16,19,25,29,37
2838,29/10/2016,4,16,21,23,24,27
2839,01/11/2016,12,18,20,21,29,35
2840,05/11/2016,3,9,13,16,22,34
2841,08/11/2016,4,11,12,26,28,29
2842,12/11/2016,2,14,16,18,32,37
2843,15/11/2016,2,11,21,22,26,32
2844,19/11/2016,13,16,19,22,25,31
2845,22/11/2016,2,3,5,8,23,29
2846,26/11/2016,1,12,13,29,32,36
2847,29/11/2016,1,8,20,25,33,37
2848,03/12/2016,6,16,20,25,26,27
2849,06/12/2016,2,5,9,13,26,29
2850,10/12/2016,8,9,15,21,26,29
2851,13/12/2016,4,12,16,28,29,31
2852,17/12/2016,1,2,10,12,26,29
2853,20/12/2016,1,3,4,10,16,17
2854,24/12/2016,5,8,21,28,31,35
2855,27/12/2016,8,10,12,24,25,29
2856,31/12/2016,11,13,27,30,32,34
2857,03/01/2017,1,3,6,27,29,33
2858,07/01/2017,5,6,9,17,24,31
2859,10/01/2017,14,15,19,31,34,35
2860,14/01/2017,5,7,10,15,26,37
2861,17/01/2017,3,9,14,15,21,22
2862,21/01/2017,8,9,12,13,29,34
2863,24/01/2017,10,13,16,17,26,34
2864,28/01/2017,5,8,11,16,22,29
2865,31/01/2017,1,6,11,14,17,27
2866,04/02/2017,4,22,24,25,26,29
2867,07/02/2017,5,12,16,22,27,31
2868,11/02/2017,12,15,17,18,22,26
2869,14/02/2017,16,18,19,30,31,32
2870,18/02/2017,6,8,14,19,20,37
2871,21/02/2017,3,27,28,30,31,35
2872,25/02/2017,1,6,18,24,28,35
2873,28/02/2017,5,7,13,15,18,23
2874,04/03/2017,3,8,9,12,27,33
2875,07/03/2017,10,11,17,19,26,30
2876,11/03/2017,11,13,18,20,25,29
2877,14/03/2017,13,20,26,30,31,34
2878,18/03/2017,3,11,22,24,33,36
2879,21/03/2017,3,10,13,18,25,26
2880,23/03/2017,3,8,10,11,26,36
2881,25/03/2017,14,15,16,24,32,36
2882,28/03/2017,13,15,21,23,30,36
2883,01/04/2017,6,14,15,18,22,36
2884,04/04/2017,4,5,16,24,33,34
2885,06/04/2017,5,6,7,24,27,32
2886,08/04/2017,7,11,18,21,25,29
2887,12/04/2017,4,7,10,22,27,36
2888,15/04/2017,3,6,12,25,28,36
2889,18/04/2017,2,8,10,16,18,27
2890,22/04/2017,9,20,27,28,30,34
2891,25/04/2017,4,8,11,13,24,32
2892,29/04/2017,19,21,24,25,30,36
2893,03/05/2017,5,6,7,16,17,33
2894,06/05/2017,2,7,11,23,25,29
2895,09/05/2017,1,7,11,15,20,30
2896,11/05/2017,5,6,18,19,21,36
2897,13/05/2017,3,20,24,27,32,37
2898,16/05/2017,8,13,27,28,30,36
2899,20/05/2017,1,3,8,10,11,31
2900,23/05/2017,2,8,17,20,27,31
2901,27/05/2017,10,13,15,22,32,33
2902,31/05/2017,1,9,14,15,19,25
2903,03/06/2017,10,11,14,17,19,26
2904,06/06/2017,8,18,21,22,26,33
2905,10/06/2017,3,5,10,13,26,27
2906,13/06/2017,4,19,22,28,31,33
2907,15/06/2017,6,12,23,25,26,35
2908,17/06/2017,4,7,10,20,22,26
2909,20/06/2017,2,9,17,19,34,35
2910,24/06/2017,2,3,8,11,26,29
2911,27/06/2017,8,9,14,22,32,33
2912,01/07/2017,19,20,21,24,34,35
2913,04/07/2017,4,8,15,24,36,37
2914,06/07/2017,11,21,22,24,26,30
2915,08/07/2017,9,18,22,24,27,34
2916,11/07/2017,3,5,8,11,22,33
2917,15/07/2017,3,10,20,22,33,37
2918,18/07/2017,7,10,14,17,27,29
2919,22/07/2017,6,7,11,12,23,30
2920,25/07/2017,12,14,19,27,31,34
2921,29/07/2017,1,5,26,31,34,35
2922,01/08/2017,4,10,17,23,28,37
2923,03/08/2017,6,9,21,31,34,35
2924,05/08/2017,4,7,11,12,15,37
2925,08/08/2017,13,17,26,31,35,37
2926,12/08/2017,20,22,29,31,32,33
2927,15/08/2017,6,8,12,14,28,34
2928,19/08/2017,6,17,28,30,32,33
2929,22/08/2017,5,8,10,26,29,35
2930,24/08/2017,12,13,25,27,31,33
2931,26/08/2017,5,10,15,22,25,33
2932,29/08/2017,1,3,22,26,29,36
2933,02/09/2017,1,8,14,21,25,31
2934,05/09/2017,3,6,13,15,28,31
2935,07/09/2017,13,20,25,28,29,30
2936,09/09/2017,7,12,15,18,23,28
2937,12/09/2017,5,6,9,11,15,23
2938,16/09/2017,9,20,21,24,25,37
2939,19/09/2017,2,4,5,9,12,27
2940,24/09/2017,6,8,11,23,25,32
2941,26/09/2017,5,16,20,24,29,34
2942,01/10/2017,3,10,18,20,24,33
2943,03/10/2017,1,2,15,28,29,32
2944,07/10/2017,2,4,12,28,30,32
2945,10/10/2017,4,5,11,27,32,37
2946,14/10/2017,12,18,20,23,25,37
2947,17/10/2017,6,18,26,31,34,37
2948,19/10/2017,8,15,21,23,29,37
2949,21/10/2017,15,20,24,25,29,30
2950,24/10/2017,2,3,12,22,25,27
2951,28/10/2017,23,25,28,30,31,34
2952,31/10/2017,1,6,7,12,34,35
2953,02/11/2017,3,6,9,14,16,35
2954,04/11/2017,6,8,24,28,30,35
2955,07/11/2017,1,6,23,33,34,36
2956,11/11/2017,1,8,10,12,29,34
2957,14/11/2017,20,23,27,28,30,34
2958,18/11/2017,16,22,27,29,33,36
2959,21/11/2017,1,6,8,17,19,24
2960,25/11/2017,6,16,21,25,32,33
2961,28/11/2017,6,10,14,20,31,37
2962,02/12/2017,4,8,13,17,28,33
2963,05/12/2017,15,20,27,28,29,37
2964,07/12/2017,6,7,18,21,26,33
2965,09/12/2017,10,18,27,30,32,37
2966,12/12/2017,2,10,15,17,25,33
2967,16/12/2017,3,6,10,11,26,29
2968,19/12/2017,3,9,11,12,28,35
2969,23/12/2017,7,9,25,30,31,36
2970,26/12/2017,3,18,19,29,36,37
2971,28/12/2017,6,7,8,17,18,29
2972,30/12/2017,3,6,17,18,34,36
2973,02/01/2018,4,6,7,10,20,28
2974,04/01/2018,1,3,12,23,28,31
2975,06/01/2018,2,6,12,18,26,28
2976,09/01/2018,6,11,13,29,32,34
2977,13/01/2018,7,11,23,30,32,34
2978,16/01/2018,3,12,15,20,23,26
2979,20/01/2018,3,6,11,16,26,34
2980,23/01/2018,7,13,16,17,29,34
2981,27/01/2018,9,16,22,26,28,37
2982,30/01/2018,5,21,22,25,32,36
2983,01/02/2018,2,6,17,21,30,35
2984,03/02/2018,5,13,15,23,28,35
2985,06/02/2018,17,19,20,27,29,33
2986,10/02/2018,4,5,11,16,18,20
2987,13/02/2018,2,5,11,12,15,33
2988,17/02/2018,1,3,5,17,18,26
2989,20/02/2018,5,6,10,12,18,26
2990,24/02/2018,2,6,9,13,35,37
2991,27/02/2018,5,10,12,19,20,25
2992,03/03/2018,1,2,3,10,16,37
2993,06/03/2018,4,11,13,24,25,34
2994,08/03/2018,9,11,15,22,28,32
2995,10/03/2018,3,25,26,30,31,34
2996,13/03/2018,22,24,28,29,30,33
2997,17/03/2018,7,8,10,19,27,37
2998,20/03/2018,5,6,11,13,21,30
2999,24/03/2018,2,5,8,20,22,28
3000,27/03/2018,2,9,17,23,27,31
3001,31/03/2018,1,2,3,13,22,30
3002,03/04/2018,3,10,11,20,24,30
3003,08/04/2018,1,23,26,31,33,37
3004,10/04/2018,1,7,11,22,24,34
3005,14/04/2018,5,11,12,18,28,35
3006,16/04/2018,2,10,11,22,28,33
3007,21/04/2018,6,7,12,22,23,28
3008,24/04/2018,13,15,26,27,29,37
3009,26/04/2018,5,11,16,18,23,26
3010,28/04/2018,4,6,7,10,11,18
3011,01/05/2018,4,6,9,12,32,36
3012,05/05/2018,10,12,22,23,30,37
3013,08/05/2018,2,14,18,23,30,32
3014,10/05/2018,4,8,11,29,34,35
3015,12/05/2018,6,10,18,23,33,36
3016,15/05/2018,2,4,10,14,23,28
3017,20/05/2018,7,10,21,27,33,36
3018,22/05/2018,1,13,26,31,34,37
3019,26/05/2018,18,21,23,25,27,34
3020,29/05/2018,12,13,16,20,21,32
3021,02/06/2018,9,20,22,23,27,32
3022,05/06/2018,1,8,19,22,34,35
3023,07/06/2018,1,3,11,15,26,32
3024,09/06/2018,8,10,14,17,25,34
3025,12/06/2018,5,9,10,12,34,35
3026,16/06/2018,8,10,18,23,29,30
3027,19/06/2018,5,7,11,14,23,36
3028,21/06/2018,19,26,30,31,33,35
3029,23/06/2018,2,9,13,17,21,26
3030,26/06/2018,1,3,29,30,32,37
3031,30/06/2018,2,9,11,13,19,28
3032,03/07/2018,5,7,11,12,28,34
3033,05/07/2018,7,13,15,19,28,36
3034,07/07/2018,8,11,22,29,30,32
3035,10/07/2018,2,7,8,9,10,15
